ID,Date/Time,Altitude [m],Latitude,Longitude,Particles [#] (Total number of analysed part...),Particles [#] (Number of sulfate containing ...),Particles [#] (Number of sodium chloride con...),Particles [#] (Number of ammonium containing...),Particles [#] (Number of potassium containin...),Particles [#] (Number of levoglucosan contai...),Particles [#] (Number of nitrate containing ...),Particles [#] (Number of elemental carbon co...),Particles [#] (Number of particles with nitr...),Particles [#] (Number of trimethylamine cont...),Particles [#] (Number of triethylamine conta...),Particles [#] (Number of dust containing par...),Particle size [nm],Method comm (Aerosol inlet value; 1 = conn...),Method comm (CVI inlet value; 1 = connecte...),Method comm (Residual value; 1 = measureme...)
P6_07,27.05.17 13:19,1719,78.2801,11.9451,1,0,0,0,0,0,0,1,0,0,0,0,459,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9451,1,1,0,1,0,0,0,0,0,0,0,0,379,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9451,1,0,0,0,0,0,0,1,0,0,0,0,393,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9451,1,0,0,0,0,0,0,1,0,0,0,0,351,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9414,1,0,0,0,0,0,0,0,0,0,0,0,390,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9414,1,1,0,1,1,0,0,0,0,1,0,0,390,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9414,1,0,0,0,0,0,0,0,0,0,0,0,375,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9414,1,1,0,1,1,1,0,0,1,0,0,0,382,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9414,1,0,0,1,0,0,0,0,0,0,0,0,421,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9414,1,1,0,1,1,1,0,0,1,0,0,0,572,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9414,1,0,0,0,0,0,0,0,0,0,0,0,441,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9378,1,0,0,0,0,0,0,0,0,0,0,0,382,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9378,1,0,0,0,0,0,0,0,0,0,0,0,430,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9342,1,0,0,0,0,0,0,0,0,0,0,0,358,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9342,1,1,0,1,0,0,0,0,0,1,0,0,365,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9342,1,1,0,1,0,0,0,0,0,1,0,0,357,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9342,1,0,0,0,0,0,0,0,0,0,0,0,427,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9342,1,0,0,0,0,0,0,0,0,0,0,0,713,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9342,1,0,0,0,0,0,0,0,0,0,0,0,473,1,0,0
P6_07,27.05.17 13:19,1719,78.2801,11.9342,1,1,0,1,0,0,0,0,0,0,0,0,484,1,0,0
P6_07,27.05.17 13:19,1718,78.2801,11.9305,1,0,0,0,0,0,0,0,0,0,0,0,533,1,0,0
P6_07,27.05.17 13:19,1718,78.2801,11.9305,1,0,0,0,0,0,0,0,0,0,0,0,533,1,0,0
P6_07,27.05.17 13:19,1718,78.2801,11.9305,1,1,0,1,1,0,0,1,0,1,0,0,471,1,0,0
P6_07,27.05.17 13:19,1718,78.2801,11.9305,1,1,0,1,1,0,0,0,0,0,0,0,685,1,0,0
P6_07,27.05.17 13:19,1718,78.2801,11.9268,1,1,0,1,1,0,0,0,0,0,0,0,383,1,0,0
P6_07,27.05.17 13:19,1718,78.2801,11.9268,1,0,0,0,0,0,0,0,0,0,0,0,476,1,0,0
P6_07,27.05.17 13:19,1718,78.2801,11.9268,1,1,0,1,0,0,0,1,0,0,0,0,388,1,0,0
P6_07,27.05.17 13:19,1718,78.2801,11.9268,1,1,1,0,1,0,0,0,0,0,0,0,513,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9231,1,0,0,0,0,0,0,0,0,0,0,0,384,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9231,1,0,0,0,0,0,0,0,0,0,0,0,453,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9231,1,1,0,1,1,0,0,0,0,1,0,0,327,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9231,1,0,0,1,0,0,0,0,0,1,0,0,456,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9231,1,0,0,0,0,0,0,0,0,0,0,0,418,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9231,1,1,0,0,1,0,0,0,0,0,0,0,327,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9231,1,0,0,0,0,0,0,0,0,0,0,0,346,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9195,1,1,0,1,1,0,0,1,0,1,0,0,,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9195,1,1,0,1,1,0,0,1,0,0,0,0,471,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9195,1,1,0,1,0,0,0,1,0,1,0,0,481,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9195,1,1,0,1,1,0,0,1,0,1,0,0,356,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9159,1,1,0,1,1,0,0,1,0,1,0,0,349,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9159,1,0,0,0,0,0,0,1,0,0,0,0,481,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9159,1,0,0,1,0,0,0,0,0,1,0,0,476,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9159,1,0,0,1,0,0,0,0,0,0,0,0,416,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9159,1,0,0,0,0,0,0,0,0,0,0,0,388,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9159,1,0,0,1,0,0,0,0,0,0,0,0,387,1,0,0
P6_07,27.05.17 13:19,1717,78.2801,11.9159,1,1,0,0,1,0,0,0,0,1,0,0,400,1,0,0
P6_07,27.05.17 13:19,1718,78.2801,11.9123,1,1,0,1,1,0,0,1,0,0,0,0,443,1,0,0
P6_07,27.05.17 13:19,1718,78.2801,11.9123,1,0,0,1,0,0,0,0,0,0,0,0,468,1,0,0
P6_07,27.05.17 13:19,1718,78.2801,11.9123,1,0,0,1,0,0,0,1,0,0,0,0,463,1,0,0
P6_07,27.05.17 13:19,1718,78.2801,11.9123,1,1,0,1,0,0,0,0,0,1,0,0,435,1,0,0
P6_07,27.05.17 13:19,1718,78.2801,11.9123,1,0,0,0,0,0,0,1,0,0,0,0,499,1,0,0
P6_07,27.05.17 13:19,1718,78.2801,11.9123,1,1,0,1,1,0,0,0,0,1,0,0,507,1,0,0
P6_07,27.05.17 13:19,1718,78.2801,11.9123,1,1,0,1,1,0,0,0,0,1,0,0,317,1,0,0
P6_07,27.05.17 13:19,1718,78.2801,11.9123,1,1,0,1,0,0,0,0,0,0,0,0,391,1,0,0
P6_07,27.05.17 13:19,1720,78.2801,11.9086,1,1,0,1,1,0,0,1,0,0,0,0,476,1,0,0
P6_07,27.05.17 13:19,1720,78.2801,11.9086,1,0,0,0,0,0,0,0,0,0,0,0,494,1,0,0
P6_07,27.05.17 13:19,1720,78.2801,11.9086,1,1,0,1,1,0,0,1,0,0,0,0,395,1,0,0
P6_07,27.05.17 13:19,1720,78.2801,11.9086,1,0,0,0,0,0,0,1,0,0,0,0,482,1,0,0
P6_07,27.05.17 13:19,1720,78.2801,11.9086,1,1,0,1,0,0,0,1,0,1,0,0,457,1,0,0
P6_07,27.05.17 13:19,1720,78.2801,11.9086,1,0,0,0,0,0,0,0,0,0,0,0,789,1,0,0
P6_07,27.05.17 13:19,1721,78.2801,11.905,1,1,0,1,1,0,0,1,0,1,0,0,373,1,0,0
P6_07,27.05.17 13:19,1721,78.2801,11.905,1,0,0,0,0,0,0,0,0,0,0,0,484,1,0,0
P6_07,27.05.17 13:19,1721,78.2801,11.905,1,0,0,0,0,0,0,0,0,0,0,0,643,1,0,0
P6_07,27.05.17 13:19,1721,78.2801,11.905,1,0,0,0,0,0,0,1,0,0,0,0,427,1,0,0
P6_07,27.05.17 13:19,1721,78.2801,11.905,1,1,0,1,0,0,0,1,0,0,0,0,505,1,0,0
P6_07,27.05.17 13:19,1722,78.2801,11.9014,1,1,0,1,0,0,0,0,0,1,0,0,378,1,0,0
P6_07,27.05.17 13:19,1722,78.2801,11.9014,1,0,0,0,0,0,0,0,0,0,0,0,389,1,0,0
P6_07,27.05.17 13:19,1722,78.2801,11.9014,1,1,0,1,0,0,0,1,0,1,0,0,432,1,0,0
P6_07,27.05.17 13:19,1722,78.2801,11.9014,1,1,0,1,0,0,0,1,0,1,0,0,438,1,0,0
P6_07,27.05.17 13:19,1722,78.2801,11.9014,1,0,0,0,0,0,0,0,0,0,0,0,360,1,0,0
P6_07,27.05.17 13:20,1722,78.2801,11.8978,1,1,0,1,1,0,0,1,0,0,0,0,568,1,0,0
P6_07,27.05.17 13:20,1722,78.2801,11.8978,1,0,0,0,0,0,0,0,0,0,0,0,366,1,0,0
P6_07,27.05.17 13:20,1722,78.2801,11.8978,1,1,0,1,0,0,0,1,0,1,0,0,427,1,0,0
P6_07,27.05.17 13:20,1722,78.2801,11.8978,1,0,0,1,0,0,0,0,0,1,0,0,422,1,0,0
P6_07,27.05.17 13:20,1722,78.2801,11.8978,1,0,0,1,0,0,0,0,0,1,0,0,289,1,0,0
P6_07,27.05.17 13:20,1721,78.2801,11.8941,1,1,0,1,0,0,0,0,0,0,0,0,468,1,0,0
P6_07,27.05.17 13:20,1721,78.2801,11.8941,1,1,0,1,1,0,0,1,0,1,0,0,386,1,0,0
P6_07,27.05.17 13:20,1721,78.2801,11.8941,1,1,0,1,1,0,0,1,0,0,0,0,389,1,0,0
P6_07,27.05.17 13:20,1721,78.2801,11.8941,1,1,0,1,1,0,0,0,0,1,0,0,749,1,0,0
P6_07,27.05.17 13:20,1721,78.2801,11.8941,1,1,0,1,1,0,0,1,0,0,0,0,380,1,0,0
P6_07,27.05.17 13:20,1721,78.2801,11.8941,1,0,0,0,0,0,0,0,0,0,0,0,355,1,0,0
P6_07,27.05.17 13:20,1721,78.2801,11.8941,1,1,0,1,1,0,0,1,0,1,0,0,438,1,0,0
P6_07,27.05.17 13:20,1721,78.2801,11.8905,1,0,0,0,0,0,0,0,0,0,0,0,400,1,0,0
P6_07,27.05.17 13:20,1721,78.2801,11.8905,1,0,0,1,0,0,0,0,0,0,0,0,359,1,0,0
P6_07,27.05.17 13:20,1721,78.2801,11.8869,1,0,0,0,0,0,0,0,0,0,0,0,423,1,0,0
P6_07,27.05.17 13:20,1721,78.2801,11.8869,1,0,0,0,0,0,0,0,0,0,0,0,388,1,0,0
P6_07,27.05.17 13:20,1721,78.2801,11.8869,1,0,0,0,1,0,0,1,0,0,0,0,386,1,0,0
P6_07,27.05.17 13:20,1721,78.2801,11.8869,1,1,0,1,0,0,0,1,0,1,0,0,597,1,0,0
P6_07,27.05.17 13:20,1721,78.2801,11.8833,1,1,0,0,1,0,0,1,0,0,0,0,358,1,0,0
P6_07,27.05.17 13:20,1721,78.2801,11.8833,1,1,0,1,1,0,0,0,0,1,0,0,321,1,0,0
P6_07,27.05.17 13:20,1721,78.2801,11.8833,1,1,0,1,0,0,0,0,0,1,0,0,512,1,0,0
